,epoch,epoch_loss,inv_loss,var_loss,cov_loss,test_loss
0,0.0,19.73463290153931,16.91110158711672,132.25696170330048,183.43953794240952,3912.6411056518555
1,1.0,19.06559981507037,26.680342726409435,107.01697915792465,659.1530550718307,4001.5861015319824
2,2.0,18.752119467975803,19.0051384344697,118.44799214601517,278.35621106624603,3714.684476852417
3,3.0,18.195103069149198,18.304651618003845,116.30108493566513,236.01502442359924,3601.1584300994873
4,4.0,18.066073996553904,25.43581200391054,97.19008243083954,632.6559697389603,3698.3033561706543
5,5.0,17.56910780560401,23.963394694030285,100.58545196056366,385.21571123600006,3498.936876296997
6,6.0,17.232676992091587,25.336821377277374,94.93139350414276,528.6455098390579,3535.350881576538
7,7.0,17.142279018445407,21.28241176903248,99.70361271500587,337.10845696926117,3361.759075164795
8,8.0,16.969739255003752,24.829288311302662,92.05289554595947,478.5388830900192,3400.5934867858887
9,9.0,16.896626495065522,24.33875112235546,91.32862776517868,420.51926815509796,3312.2037506103516
10,10.0,16.754221785695833,29.743904814124107,79.21215891838074,793.5940165519714,3517.495595932007
11,11.0,16.41371364072997,26.110806919634342,87.02996391057968,455.244243144989,3283.763505935669
12,12.0,16.447444773766474,24.239590153098106,86.88215705752373,477.86201536655426,3255.905697822571
13,13.0,16.33649436566319,28.309678234159946,79.00943133234978,599.876758813858,3282.854500770569
14,14.0,15.98284231936406,23.876142643392086,86.90495082736015,416.6700006723404,3186.1973400115967
15,15.0,16.21224746640641,27.32966285198927,80.34346625208855,503.48627376556396,3195.3145036697388
16,16.0,15.947323244369706,27.644276201725006,77.74117720127106,540.0581785440445,3174.69451713562
17,17.0,15.711300115013273,27.30252903699875,78.17315745353699,506.6799181699753,3143.5720806121826
18,18.0,15.577875421308132,30.45335952937603,71.68810307979584,651.6512117385864,3205.1877880096436
19,19.0,15.349241005325197,29.98739305883646,72.96033254265785,614.1099107265472,3187.8030490875244
20,20.0,15.384201814037318,29.882943220436573,67.51271960139275,760.2038793563843,3195.0954418182373
21,21.0,15.411288851347393,29.378159627318382,70.6738503575325,607.4114758968353,3108.7117109298706
22,22.0,15.426720122800525,31.884747952222824,63.93257860839367,879.0536935329437,3274.486867904663
23,23.0,15.056059245530697,29.551839247345924,67.7356809079647,646.2961053848267,3078.4841136932373
24,24.0,15.128597573942564,29.58399122953415,65.94982233643532,700.1169476509094,3088.462285041809
25,25.0,15.107609863716352,28.646098129451275,68.39876529574394,605.3443665504456,3031.46595287323
26,26.0,14.691184133263818,27.5377626568079,69.5418886244297,564.9577589035034,2991.949028968811
27,27.0,14.979113814173857,29.8406969755888,63.07432892918587,684.3093965053558,3007.1850547790527
28,28.0,15.028319242401228,31.4533464461565,60.647466391325,809.3476293087006,3111.8679456710815
29,29.0,14.894328206193881,29.888475455343723,61.66318367421627,724.7266383171082,3013.518123626709
