,epoch,epoch_loss,inv_loss,var_loss,cov_loss,test_loss
0,0.0,0.00014329897083000404,0.0009516497746062669,194.0118293762207,9.930301883565029e-08,0.023791343715856783
1,1.0,5.989991719613311e-05,0.00035637121754916734,194.02976423501968,1.2023250631210125e-08,0.008909292515454581
2,2.0,4.0832440707714135e-05,0.00019406795024679013,194.03438597917557,3.5597581965474134e-09,0.004851702311498229
3,3.0,2.8456398237136986e-05,0.0001775654056359599,194.03456556797028,4.589578404389644e-09,0.004439139717760554
4,4.0,2.6135023341483263e-05,0.0002279477008073627,194.03188413381577,4.2923185538876196e-08,0.005698735442365432
5,5.0,1.828918440684022e-05,0.0001820074621718959,194.03339403867722,2.8767853649594444e-08,0.004550215311610373
6,6.0,3.742721056466533e-05,0.00024018061117203615,194.0309134721756,7.838059417134002e-08,0.006004593668876623
7,7.0,1.2736626918600842e-05,6.776102391370387e-05,194.03760039806366,2.3507188197944076e-09,0.001694027951998578
8,8.0,7.042426774793116e-05,0.0010549835959636766,194.00295037031174,2.9683956188075733e-06,0.026377558264357504
9,9.0,8.105076507069727e-05,0.000837993248183011,194.0136981010437,1.2355831539578865e-06,0.020951066697307397
10,10.0,1.4199135378820991e-05,0.00015156730583498756,194.0331587791443,5.571575454731831e-08,0.003789238357967406
11,11.0,1.0047463867123082e-05,7.177006543201969e-05,194.036985039711,8.221446140630612e-09,0.0017942598503850604
12,12.0,0.0010771268700280178,0.005211056778534839,193.89723920822144,6.998330761476268e-05,0.13034640287514776
13,13.0,5.08366460382487e-06,0.0001026213348040983,194.03555089235306,2.4704175847784643e-08,0.00256555807800396
14,14.0,7.045640214439837e-06,9.64167998205312e-05,194.03625935316086,1.0971998276512046e-08,0.0024104309709400695
15,15.0,0.0038969571990177193,0.13260062338667922,192.52908676862717,0.053394046299217734,3.3684096331708133
16,16.0,0.0002766270404560994,0.004646248127983199,193.89502876996994,6.888220480272267e-05,0.11622508546861354
17,17.0,5.700240558264543e-06,4.158952191346543e-05,194.0380762219429,4.319798293757945e-09,0.0010397423686754337
18,18.0,0.0002989530195852781,0.001184056423653601,194.00004816055298,4.37075332776482e-06,0.02960578131251168
19,19.0,0.0007541904664024866,0.04966134710048209,193.22656178474426,0.005677601275237976,1.2472112860996276
20,20.0,0.00013533761828371768,0.0005172509619342236,194.02214688062668,3.4300118634256194e-07,0.012931617067806656
21,21.0,5.043735920118915e-06,1.609662485080321e-05,194.0393441915512,3.899374845302175e-10,0.0004024160111839592
22,22.0,2.4718466947600596e-06,2.9475627812303173e-05,194.03871339559555,2.159146522502848e-09,0.0007368928556275023
23,23.0,0.0002802704231452854,0.0004434289174355399,194.02252805233002,3.461052874714765e-07,0.011086069054726977
24,24.0,8.711209517994422e-06,6.010563905078925e-05,194.03708612918854,1.0564573635178653e-08,0.001502651547525602
25,25.0,1.1822957683472022e-06,7.078917137803842e-06,194.0397099852562,6.494939700266936e-11,0.000176972992676383
26,26.0,1.9712531707474933e-06,1.6270888130165417e-05,194.03923279047012,7.183059300223385e-10,0.00040677292184909675
27,27.0,5.879818895415731e-05,0.00046485232257964526,194.01882910728455,5.752188615842924e-07,0.011621883293628343
28,28.0,1.7813277987082632e-06,7.357889013626107e-06,194.0396849513054,1.0783861083533302e-10,0.00018394733331206226
29,29.0,6.694752886269757e-07,5.801040674491276e-06,194.03974157571793,8.433389138362503e-11,0.00014502610063971133
